reviewId,content,score,at,lang,sentiment,clean_text,tokenized_content,tokens_cleaned
95c4c332-22f7-4a3e-9049-83ff9ee11a8b,jangan jadi pro semua dong balikin versi gak pronya😔,1,2026-03-25 12:35:32,id,negatif,jangan jadi pro semua dong balikin versi tidak pronya,"['jangan', 'jadi', 'pro', 'semua', 'dong', 'balikin', 'versi', 'tidak', 'pronya']","['jangan', 'pro', 'semua', 'balikin', 'pronya']"
5ac7bfec-8739-497b-bf98-0d56b6c4dd73,sekolah SD 4 darul aman,5,2026-03-25 12:35:25,id,positif,sekolah sd 4 darul aman,"['sekolah', 'sd', '4', 'darul', 'aman']","['sekolah', 'darul', 'aman']"
6f34c887-fe3e-4f20-85b8-d7a77d898eb0,saya si tdk rekomendasi aplikasi capcut ini harus berlangganan dulu saya cobak uji coba malah harus berlangganan enak yang kemarin ² capcut nya cumak nonton iklan eh malah harus berlangganan saya sih tidak rekomendasi aplikasi ini,1,2026-03-25 12:29:58,id,negatif,saya si tidak rekomendasi aplikasi capcut ini harus berlangganan dulu saya cobak uji coba malah harus berlangganan enak yang kemarin 2 capcut nya cumak nonton iklan eh malah harus berlangganan saya sih tidak rekomendasi aplikasi ini,"['saya', 'si', 'tidak', 'rekomendasi', 'aplikasi', 'capcut', 'ini', 'harus', 'berlangganan', 'dulu', 'saya', 'cobak', 'uji', 'coba', 'malah', 'harus', 'berlangganan', 'enak', 'yang', 'kemarin', '2', 'capcut', 'nya', 'cumak', 'nonton', 'iklan', 'eh', 'malah', 'harus', 'berlangganan', 'saya', 'sih', 'tidak', 'rekomendasi', 'aplikasi', 'ini']","['rekomendasi', 'aplikasi', 'berlangganan', 'dulu', 'cobak', 'uji', 'berlangganan', 'enak', 'kemarin', 'cumak', 'nonton', 'iklan', 'berlangganan', 'rekomendasi', 'aplikasi']"
29d9d210-06ae-4c46-a3f8-828cf011bb31,saya coba dulu,4,2026-03-25 12:28:15,id,positif,saya coba dulu,"['saya', 'coba', 'dulu']",['dulu']
e682a46c-5d79-4b82-9ad2-40307d56d2d6,ah- ahh ah mphh a-ah,1,2026-03-25 12:26:53,id,negatif,ah ahh ah mphh aah,"['ah', 'ahh', 'ah', 'mphh', 'aah']","['ahh', 'mphh', 'aah']"
8a0ecb9b-db43-4cdc-964c-bf0505326f4b,kikir!,1,2026-03-25 12:19:42,id,negatif,kikir,['kikir'],['kikir']
4adf8779-5ef6-47ad-b570-7daecc9e1726,"aplikasi nya sangat baguss,saya sangat suka!!",1,2026-03-25 12:15:31,id,negatif,aplikasi nya sangat bagusssaya sangat suka,"['aplikasi', 'nya', 'sangat', 'bagusssaya', 'sangat', 'suka']","['aplikasi', 'sangat', 'bagusssaya', 'sangat', 'suka']"
25cec3e2-6731-45ba-be5b-0e84f322e84d,Ter update,5,2026-03-25 12:12:40,id,positif,ter update,"['ter', 'update']",['ter']
618d9e62-1322-460b-85ab-0fd18386736d,gw pake ini kalau bikin slowmo patah patah yang gw malesin itu,5,2026-03-25 12:11:21,id,positif,saya pake ini kalau bikin slowmo patah patah yang saya malesin itu,"['saya', 'pake', 'ini', 'kalau', 'bikin', 'slowmo', 'patah', 'patah', 'yang', 'saya', 'malesin', 'itu']","['kalau', 'slowmo', 'patah', 'patah', 'malesin']"
a4d6ecd6-3f73-4613-b680-c3c2551af914,good,5,2026-03-25 11:55:44,id,positif,good,['good'],['good']
66d3b55c-a750-45ae-862f-10d1ef55335c,ᥲsіk,5,2026-03-25 11:52:25,id,positif,ᥲsіk,['ᥲsіk'],['ᥲsіk']
47394f0a-e998-41ea-96cd-57bd70d89bb6,kenapaa filternyaa tidakbisa dibukaaa selalu muncul *tidak adaa koneksi internet*,1,2026-03-25 11:52:13,id,negatif,kenapaa filternyaa tidakbisa dibukaaa selalu muncul tidak adaa koneksi internet,"['kenapaa', 'filternyaa', 'tidakbisa', 'dibukaaa', 'selalu', 'muncul', 'tidak', 'adaa', 'koneksi', 'internet']","['kenapaa', 'filternyaa', 'tidakbisa', 'dibukaaa', 'selalu', 'muncul', 'adaa', 'koneksi', 'internet']"
e56a91a3-8871-4925-b5ab-31bb88911f47,di sini ngampang edit foto sama video ayo Donwold sekarang,5,2026-03-25 11:51:54,id,positif,di sini ngampang edit foto sama video ayo donwold sekarang,"['di', 'sini', 'ngampang', 'edit', 'foto', 'sama', 'video', 'ayo', 'donwold', 'sekarang']","['sini', 'ngampang', 'edit', 'foto', 'sama', 'video', 'ayo', 'donwold', 'sekarang']"
103d6671-3465-4ef6-9b27-6618582df4c8,banyak iklannya,3,2026-03-25 11:48:30,id,netral,banyak iklannya,"['banyak', 'iklannya']","['banyak', 'iklannya']"
2972f93e-539f-4b42-9450-2842c3e8a524,"bagus,tpii kok sering ngeleg ya kalau lagi mau ngedit,tolong perbaiki ya,biar ga ngeleg",3,2026-03-25 11:40:25,id,netral,bagustpii kok sering ngeleg ya kalau lagi mau ngedittolong perbaiki yabiar tidak ngeleg,"['bagustpii', 'kok', 'sering', 'ngeleg', 'ya', 'kalau', 'lagi', 'mau', 'ngedittolong', 'perbaiki', 'yabiar', 'tidak', 'ngeleg']","['bagustpii', 'sering', 'ngeleg', 'kalau', 'ngedittolong', 'perbaiki', 'yabiar', 'ngeleg']"
51e18572-5bee-475d-946e-470d021a5d57,kikir,1,2026-03-25 11:38:37,id,negatif,kikir,['kikir'],['kikir']
6953fdff-9a47-4004-97f3-67bcaf8d5357,"bukannya apa ya..tapi sekarang kenapa harus ada pembayaran, padahal dulu murah,aku kasih nilai segini aja dulu",2,2026-03-25 11:23:40,id,negatif,bukannya apa yatapi sekarang kenapa harus ada pembayaran padahal dulu murahaku kasih nilai segini saja dulu,"['bukannya', 'apa', 'yatapi', 'sekarang', 'kenapa', 'harus', 'ada', 'pembayaran', 'padahal', 'dulu', 'murahaku', 'kasih', 'nilai', 'segini', 'saja', 'dulu']","['bukannya', 'apa', 'yatapi', 'sekarang', 'pembayaran', 'padahal', 'dulu', 'murahaku', 'kasih', 'nilai', 'segini', 'dulu']"
57b18251-0450-4e90-9f8c-e52da0cc7319,masa cuman ngedit aja udah standar,1,2026-03-25 11:17:36,id,negatif,masa cuman ngedit saja sudah standar,"['masa', 'cuman', 'ngedit', 'saja', 'sudah', 'standar']","['masa', 'cuman', 'ngedit']"
902439f9-77b2-4a50-a2bf-baaff01a56bf,karna dia susah di dowlod di hp aku,4,2026-03-25 11:17:32,id,positif,karena dia susah di dowlod di hp saya,"['karena', 'dia', 'susah', 'di', 'dowlod', 'di', 'hp', 'saya']","['susah', 'dowlod']"
848808a0-91bb-4978-975a-b03762d88412,teksturnya itu tuh kalau dibuat video tuh bagus banget banget,5,2026-03-25 11:14:18,id,positif,teksturnya itu tuh kalau dibuat video tuh bagus banget banget,"['teksturnya', 'itu', 'tuh', 'kalau', 'dibuat', 'video', 'tuh', 'bagus', 'banget', 'banget']","['teksturnya', 'kalau', 'dibuat', 'video']"
d515726d-913c-4165-95ff-79d0171bceda,yelah dah kikir mana edit susah gua dihapus ama ni apk,2,2026-03-25 11:09:02,id,negatif,yelah sudah kikir mana edit susah gua dihapus ama ini aplikasi,"['yelah', 'sudah', 'kikir', 'mana', 'edit', 'susah', 'gua', 'dihapus', 'ama', 'ini', 'aplikasi']","['yelah', 'kikir', 'mana', 'edit', 'susah', 'gua', 'dihapus', 'ama', 'aplikasi']"
9d68b667-a488-4168-8b1d-706a8561cd70,bagus dan sangat mengesankan,5,2026-03-25 11:06:37,id,positif,bagus dan sangat mengesankan,"['bagus', 'dan', 'sangat', 'mengesankan']","['sangat', 'mengesankan']"
da5af6a6-4520-493c-9845-fd0f45cdf27d,ni apk bgs cuma klo mau expor hrs iklan overall bgs cm perbaiki y,3,2026-03-25 10:59:59,id,netral,ini aplikasi bgs cuma kalau mau expor hrs iklan overall bgs cm perbaiki y,"['ini', 'aplikasi', 'bgs', 'cuma', 'kalau', 'mau', 'expor', 'hrs', 'iklan', 'overall', 'bgs', 'cm', 'perbaiki', 'y']","['aplikasi', 'bgs', 'kalau', 'expor', 'hrs', 'iklan', 'overall', 'bgs', 'perbaiki']"
755d9874-3b82-4877-b5f2-17168d5d20e7,bagus aja sih,5,2026-03-25 10:59:54,id,positif,bagus saja sih,"['bagus', 'saja', 'sih']",[]
6ddd277f-ba78-4ae9-96b7-e31abfd58b98,aplikasi ini sangat kikir,5,2026-03-25 10:59:24,id,positif,aplikasi ini sangat kikir,"['aplikasi', 'ini', 'sangat', 'kikir']","['aplikasi', 'sangat', 'kikir']"
3e226e8a-c297-483e-a7ed-31256059bf31,ok,5,2026-03-25 10:58:32,id,positif,ok,['ok'],[]
35599bcb-4ec5-499e-aecf-a564be26ed50,"dulu pakai cc seru banget, tapi sekarang kebanyakan pro",2,2026-03-25 10:58:09,id,negatif,dulu pakai cc seru banget tapi sekarang kebanyakan pro,"['dulu', 'pakai', 'cc', 'seru', 'banget', 'tapi', 'sekarang', 'kebanyakan', 'pro']","['dulu', 'seru', 'tapi', 'sekarang', 'kebanyakan', 'pro']"
82138513-0948-4b83-a364-49c288341dd8,b aja,1,2026-03-25 10:57:24,id,negatif,b saja,"['b', 'saja']",[]
b457cd84-ec9a-49c0-966a-8a1fb09ce0d6,kikir dasar,1,2026-03-25 10:56:19,id,negatif,kikir dasar,"['kikir', 'dasar']","['kikir', 'dasar']"
eda84263-4ea4-4b43-8bdf-df8d71a7e2ae,versi terbaru lemotnya gak ngotak. 👎👎👎,1,2026-03-25 10:53:58,id,negatif,versi terbaru lemotnya tidak ngotak,"['versi', 'terbaru', 'lemotnya', 'tidak', 'ngotak']","['terbaru', 'lemotnya', 'ngotak']"
ce23d386-34df-476d-8c5b-0ddc6c3207a0,baguss untuk ngedit,5,2026-03-25 10:39:32,id,positif,baguss untuk ngedit,"['baguss', 'untuk', 'ngedit']","['baguss', 'ngedit']"
ea19bbdc-76ab-4389-8ff1-1c2862590119,bagus tapi banyak yang harus bayar.,2,2026-03-25 10:37:46,id,negatif,bagus tapi banyak yang harus bayar,"['bagus', 'tapi', 'banyak', 'yang', 'harus', 'bayar']","['tapi', 'banyak', 'bayar']"
a1b8d146-aa71-443f-be56-5f7e905694a1,cucaah dehh pokoknya bess bangat lah gua sering hapus berapa hari butu dia😅😙 besla kta gua buruan donwload 😁sini gua kasih bintang⭐⭐⭐⭐⭐,5,2026-03-25 10:36:43,id,positif,cucaah dehh pokoknya bess bangat lah gua sering hapus berapa hari butu dia besla kta gua buruan donwload sini gua kasih bintang,"['cucaah', 'dehh', 'pokoknya', 'bess', 'bangat', 'lah', 'gua', 'sering', 'hapus', 'berapa', 'hari', 'butu', 'dia', 'besla', 'kta', 'gua', 'buruan', 'donwload', 'sini', 'gua', 'kasih', 'bintang']","['cucaah', 'dehh', 'pokoknya', 'bess', 'bangat', 'gua', 'sering', 'hapus', 'berapa', 'hari', 'butu', 'besla', 'kta', 'gua', 'buruan', 'donwload', 'sini', 'gua', 'kasih', 'bintang']"
3ac67bb4-1602-4b87-952b-a14684d9132d,sangat mudah untuk di jj in,5,2026-03-25 10:35:39,id,positif,sangat mudah untuk di jj in,"['sangat', 'mudah', 'untuk', 'di', 'jj', 'in']","['sangat', 'mudah']"
9b3fa7c0-aa84-4624-86d7-e0207618db34,"Capcut the best,aku Rating 5/5",5,2026-03-25 10:32:03,id,positif,capcut the bestaku rating 55,"['capcut', 'the', 'bestaku', 'rating', '55']","['the', 'bestaku', 'rating']"
5c0b4273-3fba-432f-96cd-bfcb120eb4c3,capcutnya sangat bagus saya suka,3,2026-03-25 10:31:56,id,netral,capcutnya sangat bagus saya suka,"['capcutnya', 'sangat', 'bagus', 'saya', 'suka']","['capcutnya', 'sangat', 'suka']"
72623f27-fc25-49cf-b829-f4201d05ceea,bagus untuk ngedit,5,2026-03-25 10:30:55,id,positif,bagus untuk ngedit,"['bagus', 'untuk', 'ngedit']",['ngedit']
